"X","user.self","sys.self","elapsed","user.child","sys.child","Set","Pattern","Mesh"
15,0.323,0.622,14.612,23.486,2.221,"Set3","Pattern15","Mesh4"
16,0.305,0.616999999999999,10.041,14.436,2.196,"Set4","Pattern16","Mesh4"
17,0.316000000000003,0.614000000000001,8.73499999999996,11.776,2.015,"Set4","Pattern17","Mesh4"
18,0.317,0.564,12.194,18.921,2.101,"Set4","Pattern18","Mesh4"
19,0.311,0.596,14.054,22.597,2.101,"Set4","Pattern19","Mesh4"
20,0.321999999999999,0.559999999999999,8.57599999999996,11.636,1.95,"Set4","Pattern20","Mesh4"
1,0.827000000000002,0.641,21.197,33.509,3.366,"Set1","Pattern1","Mesh5"
2,0.533000000000001,0.649,22.649,36.54,3.564,"Set1","Pattern2","Mesh5"
3,0.536000000000001,0.677,23.969,39.067,3.742,"Set1","Pattern3","Mesh5"
4,0.539999999999999,0.668,23.438,38.106,3.571,"Set1","Pattern4","Mesh5"
5,0.581,0.669,22.894,36.506,3.668,"Set1","Pattern5","Mesh5"
6,0.550999999999998,0.657,17.5,26.344,3.465,"Set2","Pattern6","Mesh5"
7,0.559000000000001,0.678000000000001,24.091,39.038,3.735,"Set2","Pattern7","Mesh5"
8,0.545999999999999,0.707000000000001,24.814,40.399,3.815,"Set2","Pattern8","Mesh5"
9,0.513000000000002,0.686999999999999,18.18,27.617,3.52,"Set2","Pattern9","Mesh5"
10,0.536999999999999,0.765000000000001,28.339,47.39,3.875,"Set2","Pattern10","Mesh5"
11,0.510000000000002,0.727,21.845,36.017,3.026,"Set3","Pattern11","Mesh5"
12,0.498999999999999,0.742000000000001,11.729,15.605,3.082,"Set3","Pattern12","Mesh5"
13,0.483000000000001,0.731,24.866,41.476,3.358,"Set3","Pattern13","Mesh5"
14,0.474999999999998,0.754,12.307,16.713,3.10999999999999,"Set3","Pattern14","Mesh5"
15,0.503999999999998,0.741000000000001,25.426,42.5360000000001,3.306,"Set3","Pattern15","Mesh5"
16,0.484000000000002,0.721999999999998,12.28,16.5410000000001,3.10100000000001,"Set4","Pattern16","Mesh5"
17,0.479999999999997,0.742000000000001,12.853,17.562,3.105,"Set4","Pattern17","Mesh5"
18,0.500999999999998,0.758000000000003,17.901,27.429,3.265,"Set4","Pattern18","Mesh5"
19,0.494,0.773,19.429,30.924,2.98400000000001,"Set4","Pattern19","Mesh5"
20,0.463000000000001,0.725000000000001,12.753,17.582,3.006,"Set4","Pattern20","Mesh5"
1,0.823,0.641,20.965,32.989,3.44,"Set1","Pattern1","Mesh6"
2,0.529,0.639,23.106,37.226,3.753,"Set1","Pattern2","Mesh6"
3,0.529,0.637,22.776,36.22,3.813,"Set1","Pattern3","Mesh6"
4,0.523,0.646000000000001,22.014,35.101,3.688,"Set1","Pattern4","Mesh6"
5,0.538999999999998,0.656,21.025,33.087,3.701,"Set1","Pattern5","Mesh6"
6,0.510000000000002,0.665,16.037,23.661,3.37,"Set2","Pattern6","Mesh6"
7,0.568999999999999,0.659,22.373,35.663,3.666,"Set2","Pattern7","Mesh6"
8,0.501999999999999,0.683,22.283,35.719,3.65,"Set2","Pattern8","Mesh6"
9,0.547000000000001,0.747,17.13,25.403,3.44,"Set2","Pattern9","Mesh6"
10,0.558,0.734999999999999,26.617,43.574,3.978,"Set2","Pattern10","Mesh6"
11,0.497999999999998,0.737,18.073,28.357,3.044,"Set3","Pattern11","Mesh6"
12,0.477,0.741,9.85300000000001,12.048,3.023,"Set3","Pattern12","Mesh6"
13,0.503999999999998,0.73,21.329,34.738,3.145,"Set3","Pattern13","Mesh6"
14,0.484999999999999,0.710000000000001,10.494,13.337,3.054,"Set3","Pattern14","Mesh6"
15,0.489999999999998,0.733000000000001,20.664,33.002,3.25700000000001,"Set3","Pattern15","Mesh6"
16,0.491000000000003,0.731999999999999,10.694,13.435,2.994,"Set4","Pattern16","Mesh6"
17,0.478999999999999,0.727,11.747,15.286,3.14,"Set4","Pattern17","Mesh6"
18,0.475999999999999,0.749000000000002,16.259,23.9519999999999,3.255,"Set4","Pattern18","Mesh6"
19,0.481999999999999,0.734999999999999,16.195,24.0830000000001,3.166,"Set4","Pattern19","Mesh6"
20,0.489000000000004,0.741,11.075,13.6479999999999,3.27300000000001,"Set4","Pattern20","Mesh6"
1,0.816000000000003,0.652,21.283,32.787,3.962,"Set1","Pattern1","Mesh7"
2,0.526999999999997,0.675,21.413,33.491,3.867,"Set1","Pattern2","Mesh7"
3,0.546000000000003,0.632,24.643,39.844,4.044,"Set1","Pattern3","Mesh7"
4,0.532999999999998,0.683999999999999,25.62,41.969,3.856,"Set1","Pattern4","Mesh7"
5,0.561,0.682,23.739,38.003,3.995,"Set1","Pattern5","Mesh7"
6,0.532,0.683999999999999,17.418,25.994,3.552,"Set2","Pattern6","Mesh7"
7,0.544,0.693,23.681,37.862,4.029,"Set2","Pattern7","Mesh7"
8,0.527000000000001,0.703999999999999,24.364,39.319,4.052,"Set2","Pattern8","Mesh7"
9,0.520999999999997,0.687999999999999,18.292,27.818,3.52200000000001,"Set2","Pattern9","Mesh7"
10,0.558999999999997,0.75,28.448,47.111,3.912,"Set2","Pattern10","Mesh7"
11,0.496000000000002,0.734,12.087,16.055,3.156,"Set3","Pattern11","Mesh7"
12,0.509,0.75,12.03,16.298,3.129,"Set3","Pattern12","Mesh7"
13,0.492000000000001,0.807,25.003,41.691,3.266,"Set3","Pattern13","Mesh7"
14,0.488,0.766,12.322,16.079,3.366,"Set3","Pattern14","Mesh7"
15,0.52,0.806000000000001,23.406,38.66,3.164,"Set3","Pattern15","Mesh7"
16,0.496000000000002,0.792000000000002,12.568,16.931,3.08799999999999,"Set4","Pattern16","Mesh7"
17,0.494,0.803000000000001,12.94,17.62,3.16499999999999,"Set4","Pattern17","Mesh7"
18,0.484000000000002,0.760999999999999,16.177,24.201,3.208,"Set4","Pattern18","Mesh7"
19,0.507000000000005,0.748000000000001,18.142,27.785,3.28700000000001,"Set4","Pattern19","Mesh7"
20,0.482999999999997,0.708000000000002,11.715,15.8,3.01600000000001,"Set4","Pattern20","Mesh7"
1,0.849,0.643,25.425,40.979,3.982,"Set1","Pattern1","Mesh8"
2,0.558,0.661,26.806,43.919,4.224,"Set1","Pattern2","Mesh8"
3,0.545999999999999,0.669,28.021,45.583,4.78,"Set1","Pattern3","Mesh8"
4,0.550999999999998,0.654,28.579,47.153,4.368,"Set1","Pattern4","Mesh8"
5,0.559000000000001,0.659000000000001,26.548,43.438,4.185,"Set1","Pattern5","Mesh8"
6,0.552999999999997,0.682,19.398,29.664,3.74,"Set2","Pattern6","Mesh8"
7,0.543000000000003,0.77,27.588,44.66,4.541,"Set2","Pattern7","Mesh8"
8,0.514000000000003,0.741,26.381,42.772,4.433,"Set2","Pattern8","Mesh8"
9,0.528000000000002,0.751999999999999,22.531,34.163,4.863,"Set2","Pattern9","Mesh8"
10,0.567999999999998,0.764000000000001,31.6950000000001,52.7550000000001,4.653,"Set2","Pattern10","Mesh8"
11,0.48,0.744,15.651,22.559,3.579,"Set3","Pattern11","Mesh8"
12,0.488999999999997,0.767000000000001,15.502,22.334,3.526,"Set3","Pattern12","Mesh8"
13,0.492000000000001,0.750999999999999,31.236,53.423,3.72200000000001,"Set3","Pattern13","Mesh8"
14,0.491,0.742000000000001,15.03,21.746,3.36200000000001,"Set3","Pattern14","Mesh8"
15,0.503,0.779999999999999,32.587,56.6039999999999,3.59400000000001,"Set3","Pattern15","Mesh8"
16,0.466999999999999,0.754999999999999,14.666,21.399,3.08800000000001,"Set4","Pattern16","Mesh8"
17,0.475999999999999,0.747,15.737,22.5549999999999,3.54000000000001,"Set4","Pattern17","Mesh8"
18,0.474000000000004,0.741,22.258,36.1559999999999,3.349,"Set4","Pattern18","Mesh8"
19,0.448999999999998,0.738999999999997,23.686,39.2909999999999,3.364,"Set4","Pattern19","Mesh8"
20,0.460999999999999,0.758000000000003,14.364,20.847,3.137,"Set4","Pattern20","Mesh8"
1,0.808000000000002,0.634,19.931,31,3.336,"Set1","Pattern1","Mesh9"
2,0.521000000000001,0.651,24.63,40.267,3.544,"Set1","Pattern2","Mesh9"
3,0.523000000000003,0.626,22.295,35.8,3.6,"Set1","Pattern3","Mesh9"
4,0.52,0.662,22.783,37.013,3.452,"Set1","Pattern4","Mesh9"
5,0.521000000000001,0.655,21.196,33.708,3.57,"Set1","Pattern5","Mesh9"
6,0.501999999999999,0.67,17.003,25.428,3.345,"Set2","Pattern6","Mesh9"
7,0.533999999999999,0.688,23.777,38.163,3.717,"Set2","Pattern7","Mesh9"
8,0.516999999999999,0.706000000000001,23.302,37.691,3.596,"Set2","Pattern8","Mesh9"
9,0.539999999999999,0.723000000000001,17.642,26.431,3.456,"Set2","Pattern9","Mesh9"
10,0.530999999999999,0.779,26.278,43.227,3.689,"Set2","Pattern10","Mesh9"
11,0.492000000000001,0.774000000000001,11.178,14.341,3.12,"Set3","Pattern11","Mesh9"
12,0.481000000000002,0.753,10.638,13.764,2.93,"Set3","Pattern12","Mesh9"
13,0.48,0.762,22.658,36.948,3.288,"Set3","Pattern13","Mesh9"
14,0.477,0.764000000000001,11.305,14.699,3.111,"Set3","Pattern14","Mesh9"
15,0.494,0.747,22.906,37.358,3.309,"Set3","Pattern15","Mesh9"
16,0.471999999999998,0.770999999999997,11.698,15.176,3.101,"Set4","Pattern16","Mesh9"
17,0.491,0.794,12.572,16.8560000000001,3.101,"Set4","Pattern17","Mesh9"
18,0.480000000000004,0.738,17.9160000000001,27.314,3.23399999999999,"Set4","Pattern18","Mesh9"
19,0.497,0.750999999999998,19.826,31.427,3.19499999999999,"Set4","Pattern19","Mesh9"
20,0.487000000000002,0.777999999999999,11.062,14.171,3.074,"Set4","Pattern20","Mesh9"
