"X","DIC","Set","Pattern","Mesh"
19,-185.58373448644,"Set4","Pattern19","Mesh17"
20,-720.459649610532,"Set4","Pattern20","Mesh17"
1,-5489.6817239563,"Set1","Pattern1","Mesh18"
2,-4955.42922715445,"Set1","Pattern2","Mesh18"
3,-6090.5981475622,"Set1","Pattern3","Mesh18"
4,-6196.87568314744,"Set1","Pattern4","Mesh18"
5,-5510.38097887744,"Set1","Pattern5","Mesh18"
6,-2876.06103013389,"Set2","Pattern6","Mesh18"
7,-7669.65789719932,"Set2","Pattern7","Mesh18"
8,-5668.36343593709,"Set2","Pattern8","Mesh18"
9,-3724.81070953504,"Set2","Pattern9","Mesh18"
10,-11032.8264761661,"Set2","Pattern10","Mesh18"
11,-261.539604042153,"Set3","Pattern11","Mesh18"
12,-279.807537753092,"Set3","Pattern12","Mesh18"
13,-352.656143325539,"Set3","Pattern13","Mesh18"
14,-358.57152404915,"Set3","Pattern14","Mesh18"
15,-405.583302204376,"Set3","Pattern15","Mesh18"
16,-127.256046085154,"Set4","Pattern16","Mesh18"
17,-596.332578512349,"Set4","Pattern17","Mesh18"
18,-357.907064496751,"Set4","Pattern18","Mesh18"
19,-184.446185962244,"Set4","Pattern19","Mesh18"
20,-722.112306773818,"Set4","Pattern20","Mesh18"
1,-5499.75931258168,"Set1","Pattern1","Mesh19"
2,-4959.82227885175,"Set1","Pattern2","Mesh19"
3,-6098.30260699726,"Set1","Pattern3","Mesh19"
4,-6205.75203237819,"Set1","Pattern4","Mesh19"
5,-5523.92333647025,"Set1","Pattern5","Mesh19"
6,-2878.32882074828,"Set2","Pattern6","Mesh19"
7,-7673.57993180378,"Set2","Pattern7","Mesh19"
8,-5668.32770173541,"Set2","Pattern8","Mesh19"
9,-3731.97061841209,"Set2","Pattern9","Mesh19"
10,-11088.6756256837,"Set2","Pattern10","Mesh19"
11,-261.770464883757,"Set3","Pattern11","Mesh19"
12,-280.033834593162,"Set3","Pattern12","Mesh19"
13,-354.405742657949,"Set3","Pattern13","Mesh19"
14,-358.37666936056,"Set3","Pattern14","Mesh19"
15,-406.387740553991,"Set3","Pattern15","Mesh19"
16,-127.236981582104,"Set4","Pattern16","Mesh19"
17,-597.065302473545,"Set4","Pattern17","Mesh19"
18,-358.354058080429,"Set4","Pattern18","Mesh19"
19,-185.537417495833,"Set4","Pattern19","Mesh19"
20,-722.008766853627,"Set4","Pattern20","Mesh19"
1,-5423.1997253649,"Set1","Pattern1","Mesh2"
2,-4901.91534227365,"Set1","Pattern2","Mesh2"
3,-6166.7353487303,"Set1","Pattern3","Mesh2"
4,-6234.89049501243,"Set1","Pattern4","Mesh2"
5,-5496.91141808018,"Set1","Pattern5","Mesh2"
6,-2856.11484798819,"Set2","Pattern6","Mesh2"
7,-8160.46764233547,"Set2","Pattern7","Mesh2"
8,-5766.22147699461,"Set2","Pattern8","Mesh2"
9,-3713.97331917462,"Set2","Pattern9","Mesh2"
10,-11438.2881464871,"Set2","Pattern10","Mesh2"
11,-260.688427224882,"Set3","Pattern11","Mesh2"
12,-279.33782062978,"Set3","Pattern12","Mesh2"
13,-349.197740504262,"Set3","Pattern13","Mesh2"
14,-358.56510958851,"Set3","Pattern14","Mesh2"
15,-400.524328601215,"Set3","Pattern15","Mesh2"
16,-119.088709022957,"Set4","Pattern16","Mesh2"
17,-565.752455045832,"Set4","Pattern17","Mesh2"
18,-345.69485045573,"Set4","Pattern18","Mesh2"
19,-167.929726986435,"Set4","Pattern19","Mesh2"
20,-686.974247696769,"Set4","Pattern20","Mesh2"
1,-5493.63382460246,"Set1","Pattern1","Mesh20"
2,-4956.55528058121,"Set1","Pattern2","Mesh20"
3,-6092.63883810039,"Set1","Pattern3","Mesh20"
4,-6198.81090558595,"Set1","Pattern4","Mesh20"
5,-5521.62300257652,"Set1","Pattern5","Mesh20"
6,-2874.05415326391,"Set2","Pattern6","Mesh20"
7,-7689.71308815462,"Set2","Pattern7","Mesh20"
8,-5666.74525046168,"Set2","Pattern8","Mesh20"
9,-3725.45944628243,"Set2","Pattern9","Mesh20"
10,-11077.8732722833,"Set2","Pattern10","Mesh20"
11,-261.713470493627,"Set3","Pattern11","Mesh20"
12,-279.883800609169,"Set3","Pattern12","Mesh20"
13,-354.814360284332,"Set3","Pattern13","Mesh20"
14,-358.373699143885,"Set3","Pattern14","Mesh20"
15,-406.119364912983,"Set3","Pattern15","Mesh20"
16,-127.151071790914,"Set4","Pattern16","Mesh20"
17,-597.70735891,"Set4","Pattern17","Mesh20"
18,-357.976768823388,"Set4","Pattern18","Mesh20"
19,-185.553857769178,"Set4","Pattern19","Mesh20"
20,-720.117774628225,"Set4","Pattern20","Mesh20"
1,-5494.69252503976,"Set1","Pattern1","Mesh21"
2,-4955.90238521757,"Set1","Pattern2","Mesh21"
3,-6095.33057927063,"Set1","Pattern3","Mesh21"
4,-6212.06355058368,"Set1","Pattern4","Mesh21"
5,-5520.92547823948,"Set1","Pattern5","Mesh21"
6,-2878.17304172297,"Set2","Pattern6","Mesh21"
7,-7682.92110515063,"Set2","Pattern7","Mesh21"
8,-5667.4962787175,"Set2","Pattern8","Mesh21"
9,-3729.02180293036,"Set2","Pattern9","Mesh21"
10,-11088.1971980418,"Set2","Pattern10","Mesh21"
11,-261.623940086324,"Set3","Pattern11","Mesh21"
12,-279.943682628435,"Set3","Pattern12","Mesh21"
13,-354.389492450414,"Set3","Pattern13","Mesh21"
14,-358.441548470563,"Set3","Pattern14","Mesh21"
15,-405.794207125816,"Set3","Pattern15","Mesh21"
16,-126.983147219178,"Set4","Pattern16","Mesh21"
17,-596.148962454303,"Set4","Pattern17","Mesh21"
18,-357.964275630155,"Set4","Pattern18","Mesh21"
19,-185.535261436369,"Set4","Pattern19","Mesh21"
20,-720.626299080668,"Set4","Pattern20","Mesh21"
1,-5489.78068926992,"Set1","Pattern1","Mesh22"
2,-4955.32496875596,"Set1","Pattern2","Mesh22"
3,-6090.8792881686,"Set1","Pattern3","Mesh22"
4,-6197.27473683758,"Set1","Pattern4","Mesh22"
5,-5511.27944987836,"Set1","Pattern5","Mesh22"
6,-2875.94096002601,"Set2","Pattern6","Mesh22"
7,-7669.48403520514,"Set2","Pattern7","Mesh22"
8,-5668.37885508381,"Set2","Pattern8","Mesh22"
9,-3724.88852714802,"Set2","Pattern9","Mesh22"
10,-11032.6742175054,"Set2","Pattern10","Mesh22"
11,-261.550939464933,"Set3","Pattern11","Mesh22"
12,-279.810283093352,"Set3","Pattern12","Mesh22"
13,-352.67527402231,"Set3","Pattern13","Mesh22"
14,-358.521706898371,"Set3","Pattern14","Mesh22"
15,-405.625319831537,"Set3","Pattern15","Mesh22"
16,-127.269171072132,"Set4","Pattern16","Mesh22"
17,-596.484321889989,"Set4","Pattern17","Mesh22"
18,-358.013821629615,"Set4","Pattern18","Mesh22"
19,-184.360215756674,"Set4","Pattern19","Mesh22"
20,-722.318369154518,"Set4","Pattern20","Mesh22"
1,-5499.76229541362,"Set1","Pattern1","Mesh23"
2,-4959.86080389608,"Set1","Pattern2","Mesh23"
3,-6098.26623384294,"Set1","Pattern3","Mesh23"
4,-6205.78985607651,"Set1","Pattern4","Mesh23"
5,-5523.94834784135,"Set1","Pattern5","Mesh23"
6,-2878.40797416917,"Set2","Pattern6","Mesh23"
7,-7673.57989834578,"Set2","Pattern7","Mesh23"
8,-5668.30289330634,"Set2","Pattern8","Mesh23"
9,-3732.02475481196,"Set2","Pattern9","Mesh23"
10,-11088.6714247569,"Set2","Pattern10","Mesh23"
11,-261.765809680122,"Set3","Pattern11","Mesh23"
12,-280.008653659945,"Set3","Pattern12","Mesh23"
13,-354.597416279019,"Set3","Pattern13","Mesh23"
14,-358.373467471761,"Set3","Pattern14","Mesh23"
15,-406.241747356356,"Set3","Pattern15","Mesh23"
16,-127.220862690793,"Set4","Pattern16","Mesh23"
