"X","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode","kld","True","Set","Pattern","Mesh"
7,4.01596832275391,0.540339171886444,2.90390349938437,4.02362434538977,5.08581846546841,4.03597688674927,0.000214828315264175,4,"Set2","Pattern7","Mesh12"
8,4.3233470916748,0.31471973657608,3.66652821221351,4.33065554291111,4.93942997316761,4.34134912490845,0.0017490979193653,4,"Set2","Pattern8","Mesh12"
9,4.01370239257812,0.330224454402924,3.36210731605615,4.00823431391725,4.69613562624935,3.99915456771851,0.000615761429763403,4,"Set2","Pattern9","Mesh12"
10,4.24227619171143,0.613465666770935,2.99082853740684,4.24433733056338,5.47974264682407,4.24715137481689,0.000724363808835242,4,"Set2","Pattern10","Mesh12"
11,2.35135841369629,0.451506197452545,1.56865650780523,2.35804380948859,3.09250128393179,2.36591720581055,0.063063090308456,2,"Set3","Pattern11","Mesh12"
12,2.4000415802002,0.262452065944672,2.04152953143972,2.40222200246684,2.74638908584657,2.4071843624115,0.19022406650352,2,"Set3","Pattern12","Mesh12"
13,2.50287866592407,0.172727629542351,2.12261357643115,2.5169818164752,2.77224020538302,2.53150486946106,0.0338475881639437,2,"Set3","Pattern13","Mesh12"
14,2.54993629455566,0.12302140891552,2.32557218098522,2.55244396811702,2.75854684234359,2.55661106109619,0.00720521963500025,2,"Set3","Pattern14","Mesh12"
15,2.58799171447754,0.153763264417648,2.24022553868221,2.60232556586445,2.82275103595438,2.61621594429016,0.0696066463231522,2,"Set3","Pattern15","Mesh12"
16,1.71326398849487,0.567135632038116,0.566169962682032,1.73052078952363,2.79740006396098,1.76523375511169,0.00218938711327448,2,"Set4","Pattern16","Mesh12"
17,2.13406372070312,0.566705107688904,0.901521630151553,2.16723927692305,3.18594219163151,2.22106099128723,0.000741708210338456,2,"Set4","Pattern17","Mesh12"
18,2.38778877258301,0.466025024652481,1.46099142358094,2.41426071130936,3.22413640752344,2.46458196640015,0.0221593703004747,2,"Set4","Pattern18","Mesh12"
19,2.00434923171997,0.303643822669983,1.37716769981607,2.02078134308472,2.56285844605882,2.05639219284058,0.00847677599429743,2,"Set4","Pattern19","Mesh12"
20,2.01639604568481,0.689859867095947,0.582689658908258,2.03027550842609,3.37615015479802,2.0535364151001,0.000516738415050854,2,"Set4","Pattern20","Mesh12"
1,4.23039674758911,0.152218520641327,3.90056345098522,4.23924075160864,4.51000445154123,4.25420570373535,0.000300925913093233,4,"Set1","Pattern1","Mesh13"
2,4.33101272583008,0.149151608347893,4.02741924978053,4.33207607851206,4.62888845839598,4.33387231826782,0.00164113962708622,4,"Set1","Pattern2","Mesh13"
3,4.43139028549194,0.136924475431442,4.14684441554663,4.43481892677637,4.69670862068908,4.44059324264526,0.00109181404065698,4,"Set1","Pattern3","Mesh13"
4,4.41191339492798,0.149240553379059,4.10610930943328,4.4140286088658,4.70643259354614,4.41793346405029,0.000481018169969389,4,"Set1","Pattern4","Mesh13"
5,4.36132097244263,0.0976196527481079,4.16312632883157,4.36261141620287,4.55225088387154,4.36495351791382,9.12392468186748e-05,4,"Set1","Pattern5","Mesh13"
6,3.6749541759491,0.677470266819,2.28245284286743,3.67980258960894,5.04824956048811,3.68908834457397,0.00536411695893985,4,"Set2","Pattern6","Mesh13"
7,3.91452026367188,0.673672199249268,2.5317127862212,3.92046008734654,5.26649937822871,3.93107843399048,0.000446801210674839,4,"Set2","Pattern7","Mesh13"
8,4.29563474655151,0.319166362285614,3.63891745427477,4.30005647674817,4.92989690097614,4.30775117874146,0.00223782886609311,4,"Set2","Pattern8","Mesh13"
9,3.88466906547546,0.406548976898193,3.0549527615201,3.88680377787659,4.70267248964446,3.89055585861206,0.000672083445376895,4,"Set2","Pattern9","Mesh13"
10,4.11105108261108,0.678390264511108,2.72408031217783,4.11444340906978,5.47893995802359,4.1202540397644,0.000585333932768602,4,"Set2","Pattern10","Mesh13"
