"X","WAIC","Set","Pattern","Mesh"
5,-5185.41562394262,"Set1","Pattern5","Mesh23"
6,-2783.2333856532,"Set2","Pattern6","Mesh23"
7,-7140.93761449351,"Set2","Pattern7","Mesh23"
8,-5464.53837414126,"Set2","Pattern8","Mesh23"
9,-3546.55782925384,"Set2","Pattern9","Mesh23"
10,-9988.43188574087,"Set2","Pattern10","Mesh23"
11,-259.717889755897,"Set3","Pattern11","Mesh23"
12,-278.810992442872,"Set3","Pattern12","Mesh23"
13,-348.779463539552,"Set3","Pattern13","Mesh23"
14,-357.535974241039,"Set3","Pattern14","Mesh23"
15,-399.98224645616,"Set3","Pattern15","Mesh23"
16,-124.465374065914,"Set4","Pattern16","Mesh23"
17,-575.605985755234,"Set4","Pattern17","Mesh23"
18,-351.934837442627,"Set4","Pattern18","Mesh23"
19,-181.459790425065,"Set4","Pattern19","Mesh23"
20,-682.220024348427,"Set4","Pattern20","Mesh23"
1,-5118.43164554734,"Set1","Pattern1","Mesh24"
2,-4684.65157782807,"Set1","Pattern2","Mesh24"
3,-5812.50342100435,"Set1","Pattern3","Mesh24"
4,-5792.05541791918,"Set1","Pattern4","Mesh24"
5,-5178.35015371657,"Set1","Pattern5","Mesh24"
6,-2790.34820743905,"Set2","Pattern6","Mesh24"
7,-7118.35222748435,"Set2","Pattern7","Mesh24"
8,-5460.90600292959,"Set2","Pattern8","Mesh24"
9,-3531.03234925671,"Set2","Pattern9","Mesh24"
10,-9995.52185077295,"Set2","Pattern10","Mesh24"
11,-259.747817385498,"Set3","Pattern11","Mesh24"
12,-278.726986859039,"Set3","Pattern12","Mesh24"
13,-348.287788965131,"Set3","Pattern13","Mesh24"
14,-357.528202588483,"Set3","Pattern14","Mesh24"
15,-399.422447962635,"Set3","Pattern15","Mesh24"
16,-124.902982897256,"Set4","Pattern16","Mesh24"
17,-573.65194660714,"Set4","Pattern17","Mesh24"
18,-352.049107779457,"Set4","Pattern18","Mesh24"
19,-181.148202344291,"Set4","Pattern19","Mesh24"
20,-681.219396150352,"Set4","Pattern20","Mesh24"
1,-5343.66411792381,"Set1","Pattern1","Mesh25"
2,-4833.70243094725,"Set1","Pattern2","Mesh25"
3,-5961.11849622998,"Set1","Pattern3","Mesh25"
4,-5996.41272397832,"Set1","Pattern4","Mesh25"
5,-5361.64015774438,"Set1","Pattern5","Mesh25"
6,-2842.70046313637,"Set2","Pattern6","Mesh25"
7,-7436.09066158711,"Set2","Pattern7","Mesh25"
8,-5587.22313396625,"Set2","Pattern8","Mesh25"
9,-3653.91519801608,"Set2","Pattern9","Mesh25"
10,-10378.6730099515,"Set2","Pattern10","Mesh25"
11,-261.167224548998,"Set3","Pattern11","Mesh25"
12,-280.053511584285,"Set3","Pattern12","Mesh25"
13,-354.562276239867,"Set3","Pattern13","Mesh25"
14,-358.594262522729,"Set3","Pattern14","Mesh25"
15,-410.496029654934,"Set3","Pattern15","Mesh25"
16,-128.180006334459,"Set4","Pattern16","Mesh25"
17,-595.506621683889,"Set4","Pattern17","Mesh25"
18,-359.333973654351,"Set4","Pattern18","Mesh25"
19,-188.051747593782,"Set4","Pattern19","Mesh25"
20,-713.467872399618,"Set4","Pattern20","Mesh25"
1,-5330.66337835868,"Set1","Pattern1","Mesh26"
2,-4836.93002319674,"Set1","Pattern2","Mesh26"
3,-5947.48750769422,"Set1","Pattern3","Mesh26"
4,-5993.17963475767,"Set1","Pattern4","Mesh26"
5,-5359.56831945427,"Set1","Pattern5","Mesh26"
6,-2844.81310257915,"Set2","Pattern6","Mesh26"
7,-7409.62009289359,"Set2","Pattern7","Mesh26"
8,-5582.23372010706,"Set2","Pattern8","Mesh26"
9,-3655.32917352312,"Set2","Pattern9","Mesh26"
10,-10370.7395559388,"Set2","Pattern10","Mesh26"
11,-261.042754545057,"Set3","Pattern11","Mesh26"
12,-280.034237360686,"Set3","Pattern12","Mesh26"
13,-354.611723119457,"Set3","Pattern13","Mesh26"
14,-358.537493778253,"Set3","Pattern14","Mesh26"
15,-410.486515843566,"Set3","Pattern15","Mesh26"
16,-128.28821501563,"Set4","Pattern16","Mesh26"
17,-594.330712945288,"Set4","Pattern17","Mesh26"
18,-358.982281439468,"Set4","Pattern18","Mesh26"
19,-187.765013144287,"Set4","Pattern19","Mesh26"
20,-713.493095963171,"Set4","Pattern20","Mesh26"
1,-5338.61654912789,"Set1","Pattern1","Mesh27"
2,-4836.25397093365,"Set1","Pattern2","Mesh27"
3,-5956.96996845891,"Set1","Pattern3","Mesh27"
4,-6000.79009691612,"Set1","Pattern4","Mesh27"
5,-5365.84829171489,"Set1","Pattern5","Mesh27"
6,-2843.86585789312,"Set2","Pattern6","Mesh27"
7,-7429.0583984347,"Set2","Pattern7","Mesh27"
8,-5590.5853485858,"Set2","Pattern8","Mesh27"
9,-3661.8916588483,"Set2","Pattern9","Mesh27"
10,-10362.4623105991,"Set2","Pattern10","Mesh27"
11,-261.204845874133,"Set3","Pattern11","Mesh27"
12,-280.076953451802,"Set3","Pattern12","Mesh27"
13,-354.71769852263,"Set3","Pattern13","Mesh27"
14,-358.662998489057,"Set3","Pattern14","Mesh27"
15,-411.153317359036,"Set3","Pattern15","Mesh27"
16,-128.194180715259,"Set4","Pattern16","Mesh27"
17,-595.532694556379,"Set4","Pattern17","Mesh27"
18,-359.510289473897,"Set4","Pattern18","Mesh27"
19,-188.724073581687,"Set4","Pattern19","Mesh27"
20,-713.180160205434,"Set4","Pattern20","Mesh27"
1,-5347.38848767309,"Set1","Pattern1","Mesh28"
2,-4843.52715862836,"Set1","Pattern2","Mesh28"
